 (-0.36480513+0.34737536j)  (-0.22189027+0.015186217j)  (0.048075806-0.087672725j)  (-0.6852505-0.074121825j)  (-0.7600354-0.3519807j)  (0.11071311+0.4613242j)  (-0.43573958-0.39728275j)  (-0.9082351+0.09923867j)  (-1.0043558+0.21046233j)  (0.018921275+0.54653305j)  (-1.0264698+1.0955487j)  (-0.25854534+1.2031873j)  (-0.2759835+0.4189624j)  (-0.9642927-1.0406206j)  (0.054625113+0.55193776j)  (0.96874076+0.8800387j)  (0.23265302+0.33261082j)  (-1.5403792+0.88677144j)  (0.24913387+0.0042558513j)  (-0.056709662-0.76257807j)  (0.27582967+0.7421972j)  (1.1065419+1.1272197j)  (1.0114993+0.3726914j)  (-0.32302275-0.7481681j)  (0.80972785-0.050617732j)  (0.4140375-0.05450436j)  (0.26474604-1.1497136j)  (0.0076253014-0.04131948j)  (-1.5417154-0.32233378j)  (-0.34007236-0.7136252j)  (-0.09985943+0.08112184j)  (-0.37288985+0.22076899j)  (1.5666311-0.33223286j)  (0.38495034+0.04612866j)  (0.20031264+0.11884003j)  (0.70193744+0.19681218j)  (0.17494814-0.4888113j)  (-0.32635236+0.55748403j)  (-0.71800107+0.38240612j)  (-0.1487077+1.3596262j)  (0.7092293+1.0965494j)  (0.6339869-0.2816245j)  (-0.40277484+1.2133945j)  (0.6379917-0.40571904j)  (0.11442768+0.31391257j)  (-0.60163385+0.85319746j)  (-0.9251717+0.4706476j)  (0.16094656-0.40231287j)  (0.09114871+0.65918607j)  (0.23842013+0.33497718j)  (-0.02298773+1.0475403j)  (-0.8553076-0.62497324j)  (-0.07803579-0.01859911j)  (0.86597687+0.21463549j)  (1.0942595+1.8111271j)  (-0.23550424+0.68782574j)  (2.040393+0.85162354j)  (1.6768436+0.35605648j)  (-0.41482997-1.054803j)  (-0.60271966+1.0642788j)  (0.06015509+0.3153566j)  (1.2052535-1.8609324j)  (-0.41762903+0.25093567j)  (0.77247155+0.1562858j)
 (0.21583661+0.81465816j)  (0.5843514-0.74468035j)  (-0.97350055-0.52008104j)  (2.325709+0.13415028j)  (-0.8502319-1.038717j)  (0.06612382+1.2853816j)  (-0.82129294-0.24377121j)  (0.9283662-0.7478965j)  (0.812676-0.14757214j)  (-1.0108138+1.1669244j)  (-0.18761781+0.36109295j)  (-1.2749277-0.5434839j)  (0.39524898-0.488393j)  (-0.17261769-0.03558736j)  (0.335082-0.02431237j)  (-0.60373795+0.5160881j)  (0.90703243+0.58192116j)  (0.31661305+0.55943036j)  (-0.6772885-0.31038132j)  (-0.40453762+1.0540984j)  (-0.9697187-0.2857285j)  (-1.7347243-0.40869957j)  (-0.29048145+0.15602423j)  (1.2202657+0.4072094j)  (0.8839248+0.33245513j)  (-1.0515963+1.4015743j)  (0.19295141-0.84348005j)  (-1.0280998-0.98631966j)  (1.1959363-0.7925585j)  (-1.0341479-0.4355815j)  (0.9554086+0.3422905j)  (-0.124814816-0.6027146j)  (0.8485625-0.84931666j)  (0.8381609+0.9013272j)  (0.6024202+0.85828257j)  (-0.51252234-0.1708493j)  (-0.3083824-0.41887683j)  (0.8578536-0.011263627j)  (-0.28154603-0.28164834j)  (1.1721355-0.40406212j)  (0.22565953-0.48910493j)  (1.2480007-0.42124635j)  (-0.5184095+0.3803065j)  (-0.7474166+1.0673976j)  (0.18019027+0.57016736j)  (0.14001478+0.32070833j)  (0.44766262+0.43385607j)  (-0.3505294+0.40369385j)  (0.11761799-1.0882597j)  (0.66982234-0.071770094j)  (0.10727706-0.35148633j)  (0.19539121+0.22281756j)  (0.15387467-0.39420298j)  (-0.30301523-0.3175743j)  (-0.64907897-0.044087566j)  (-0.45404854-0.7071834j)  (-0.3580668+1.1723117j)  (1.3390647+2.396047j)  (0.022416065+0.92035186j)  (0.8021351+0.20169711j)  (0.80415875+0.2074517j)  (-0.3372518+0.16499397j)  (0.23815133-0.52484035j)  (0.5829522+0.48342943j)
 (0.6024131+0.8794533j)  (-0.8671536-1.3329841j)  (-0.12933554+0.49974453j)  (-0.7803603+0.5189348j)  (-0.413784-1.2339565j)  (-0.26475132+0.49506113j)  (0.90607864-0.6241254j)  (1.0143254+0.10471999j)  (-0.28526077+0.10529533j)  (1.0358031-0.27586725j)  (-0.007993109+0.16556585j)  (0.019423746+0.5722667j)  (0.3854542+0.24624147j)  (0.8394909-0.062455893j)  (-0.010551389+0.13169944j)  (-0.3397878+0.26179662j)  (-0.5486497+1.2656343j)  (0.1006147-0.17485869j)  (0.7738879-0.53457624j)  (-0.76425177+1.416987j)  (0.33180737+0.9619869j)  (0.5009919+1.3582306j)  (1.1081215-0.7956993j)  (-0.653932+0.38128117j)  (-0.32615447-0.26451728j)  (-0.5396088+0.14772126j)  (-0.31018937+0.020661155j)  (0.18353881+0.31698662j)  (0.20913154+1.3480133j)  (-0.10786901+0.44872817j)  (0.067527995-0.0010491922j)  (0.321949+0.049031567j)  (0.28044918-1.1335602j)  (-0.86863035-0.31810242j)  (-0.88402474-0.9971401j)  (0.31435665+0.31066105j)  (-0.08377898-1.2297511j)  (-0.43127573-1.4552112j)  (-0.19164222-0.07488862j)  (-0.43894002+0.085221514j)  (-1.7493513-0.7676851j)  (0.35485134-0.6398438j)  (0.9145435-0.31999603j)  (-0.42050716-0.12400913j)  (-0.008851664-0.58581895j)  (0.14638212-0.772951j)  (-0.030147603+0.3430787j)  (-0.9774579-0.30966732j)  (-0.03679753-0.41705143j)  (-0.49049354-0.91691774j)  (-0.11314189-0.4705612j)  (1.9412432+0.39031938j)  (-0.04579686-0.6150772j)  (0.43740243+0.31762427j)  (-0.7030595+0.7698812j)  (0.83747023+1.0738968j)  (-0.23278026-1.4706111j)  (-1.343235-0.06667482j)  (1.0376732-0.06881155j)  (0.46559998-0.15678841j)  (-1.1208612+0.2173595j)  (0.29633376+0.25348374j)  (-0.25488955-0.08451844j)  (0.36717504-0.10324674j)
 (-0.68703866-0.5878966j)  (-0.069178596-0.18948753j)  (-0.30187896-0.95820874j)  (-0.19165382-1.4527627j)  (-0.5955545-0.3242436j)  (1.105596+0.35312375j)  (0.1653991-0.10581383j)  (0.39999238+0.7683927j)  (0.032532662-0.87774503j)  (-0.52136683-0.06069497j)  (0.46498725-0.0992345j)  (-1.003914+0.18277018j)  (-1.5719825-0.44730896j)  (0.27272627-0.2750244j)  (0.6854729+0.67646235j)  (-0.4333167+0.07050888j)  (1.3191962-0.41554102j)  (-0.8079215+0.3768394j)  (-1.0544494+0.49364537j)  (0.7701818-0.11095467j)  (-0.7741898+0.42836526j)  (0.47334546-1.1245271j)  (-1.763682+0.20972577j)  (0.8654818+0.39302972j)  (0.07925884+1.2911841j)  (-0.2598102-0.46019375j)  (0.7894683-0.8248633j)  (-0.8539616+1.0042913j)  (0.06811181-0.26259592j)  (0.059743408-0.31172785j)  (0.47504914-1.0378181j)  (1.2073303+0.72589606j)  (-0.12905887-1.4865999j)  (0.91007864-1.1062943j)  (1.0757571+0.18663917j)  (-0.62177354+0.4455615j)  (1.6997554-0.69760174j)  (-0.68927336-0.08932761j)  (0.7216432-0.22164106j)  (-0.96739316-0.38655397j)  (-0.017420335-0.22505349j)  (-0.29634386-0.26775852j)  (0.80886924+0.2749971j)  (-0.6809346+0.17115036j)  (-0.03676442-0.63189876j)  (1.6242733+0.86890405j)  (0.7207006-0.5934316j)  (-0.8797916-0.24523947j)  (-0.11627391+2.194998j)  (0.3084397+1.1039401j)  (0.046588387-0.91393864j)  (1.4283187-0.92764723j)  (-0.7670061+0.4986536j)  (-0.5885597-0.1723856j)  (-0.9376895-0.36984906j)  (-0.4416656+0.6495149j)  (1.3518835-0.42470905j)  (0.05080378+0.7728205j)  (-0.11769282-0.7386023j)  (-0.30359662+0.119301364j)  (-1.0557209+1.0990996j)  (0.5054247+0.37225172j)  (-0.12347305+0.10384383j)  (-0.84694564+0.39565623j)
 (-1.7102123+0.86839485j)  (-1.0068997+0.6788509j)  (0.06155887+0.28985143j)  (-0.34903473-0.13237555j)  (-0.08984477+0.7339233j)  (-0.8420258-0.9343864j)  (-0.8588138-0.96870047j)  (0.62650394+0.33113933j)  (-0.037057336-0.14167047j)  (0.42203146+0.40686885j)  (0.0016017328+1.2149464j)  (-0.40586412+0.2296456j)  (0.10444214+0.92954326j)  (-1.1120051+1.9810642j)  (-0.1542707+0.76960665j)  (0.35764194+0.20706502j)  (-0.12350886-1.2686571j)  (-0.99241203-0.32372352j)  (0.36070633-0.080290474j)  (0.7625268+1.3255802j)  (-0.62524295-0.48473406j)  (0.36327347-1.6886407j)  (-0.30159584+0.10665207j)  (0.22966301+0.69575685j)  (0.23281455-0.2763936j)  (-0.8507309+0.40625393j)  (-0.31873602-0.8226958j)  (-0.29455584-1.1717476j)  (-0.53208315+0.27211705j)  (0.39423677+0.34731922j)  (0.9468052+0.3542935j)  (1.2194214+0.13100459j)  (-0.8193756-0.17775951j)  (-0.28162283+0.20168576j)  (0.8958694-0.6921326j)  (-0.88745546-1.3249587j)  (0.8546574-0.4207295j)  (-0.5583774+0.4119093j)  (0.34815106-0.19613531j)  (-0.57941705+1.2785758j)  (-0.2413625+0.1706098j)  (-0.28073043+0.9877676j)  (-0.3788128-0.8597517j)  (0.7696957-0.707413j)  (0.05728724-0.29601964j)  (0.8638061-0.32210717j)  (0.029769907-0.4105031j)  (-0.33148623-0.8687575j)  (0.70620155+0.265794j)  (-0.5600551+0.87165785j)  (1.9798083-0.040929697j)  (0.12501295+0.109391384j)  (0.6423983+0.31320557j)  (-0.5078236+0.1724901j)  (0.61267346-0.46899605j)  (-0.7294961+0.42687073j)  (-0.06497753-0.2718496j)  (-0.0014388076-0.015161033j)  (-1.2370342+0.053605992j)  (0.419671-0.67868805j)  (0.6996171-0.70018905j)  (-0.22670116-0.2937773j)  (-1.1871686+0.67324096j)  (0.55252194+0.17654827j)
 (1.2809373-0.15449716j)  (0.3871321-0.8526458j)  (-0.98758376-0.62523776j)  (-0.6798108-1.00734j)  (0.87360597-1.2060894j)  (0.3552047+0.7160249j)  (-0.28799078+0.5973737j)  (-1.2509817+0.22823521j)  (0.4627953-1.18223j)  (0.5092636-0.05618874j)  (-0.12443297-0.33412492j)  (-0.21397933-0.16639492j)  (0.59932846-0.098912776j)  (0.7170578+0.21404247j)  (0.32856977+0.9803651j)  (-0.50033206-0.6840945j)  (1.0239241+0.38832414j)  (0.44966978+0.3603171j)  (-1.2828006+0.26663324j)  (-0.008024199-0.4793285j)  (-0.09969129-0.46845654j)  (-0.15147261+0.060673047j)  (0.8552661-0.11076669j)  (0.2726955+0.35584995j)  (-0.9763197+0.0004908476j)  (1.2178555-0.8380428j)  (-0.5990215-0.757673j)  (-0.7208336-0.94697475j)  (1.1177621-0.41385448j)  (0.19571778-0.19281411j)  (-0.37724498-0.09380722j)  (-0.021616755-0.5858108j)  (-0.81533843-0.71976995j)  (-1.0817958+0.22805338j)  (-0.77146363-0.5999823j)  (-0.1183362-0.17038496j)  (-0.12638617-0.3632727j)  (-1.1377416-0.16881785j)  (-0.26973936-0.38351664j)  (-0.7820989+0.13045718j)  (-0.7358988-0.14140359j)  (0.49696398+1.0743079j)  (1.2339009+0.38209587j)  (0.17742877-0.16972151j)  (-0.23228703+0.07918746j)  (-0.039317667+1.0604926j)  (0.8451288+0.49186248j)  (-0.22521088+0.49002093j)  (-0.44490463+0.45342064j)  (0.07674009-0.6713062j)  (-0.050962634-0.49164125j)  (1.4051597+0.43229005j)  (0.0075227777-0.08196587j)  (0.2758843-0.8434756j)  (1.1978213+1.2468109j)  (-0.73323125+1.8284768j)  (0.42614678+0.9357735j)  (-0.23212329+1.0933204j)  (-1.262759-0.62026674j)  (-0.36515084+0.059053283j)  (0.28812376+0.3954458j)  (0.30606675+0.3554892j)  (-0.045875516+0.58498615j)  (-1.3560874+0.22485662j)
 (1.5744302+0.05649275j)  (-0.49851507+0.003207235j)  (-0.6841542+0.093272015j)  (-1.4420878-0.041686226j)  (0.05057071+1.6445906j)  (-0.5726436-0.3386534j)  (-0.8128092+0.20857348j)  (-0.12447795-0.98555887j)  (0.45554122-0.9020557j)  (1.1513454-1.178742j)  (0.45744878+0.664299j)  (-0.048327446+0.4098173j)  (0.5044148+1.3175257j)  (0.29823577+0.6229621j)  (-0.5219893-0.8434359j)  (-0.6125643-0.9370184j)  (0.06348706+0.1447821j)  (0.18362087+0.03415332j)  (0.035154875-0.5517245j)  (1.2746651+0.57909876j)  (0.6542982-0.6025625j)  (1.4138441+0.15264745j)  (-0.7203373-1.1527553j)  (0.65820026-0.20390457j)  (0.18200429-1.1702268j)  (-0.13224284+0.20059143j)  (0.074961774+0.027069576j)  (1.7368248+1.3140538j)  (-0.21508542+1.1102804j)  (0.71784747-0.49746534j)  (0.6747777-1.9509214j)  (0.039899614-0.7598417j)  (-1.3231593-0.6577061j)  (-0.5161326-1.6918584j)  (0.8827974+0.58776736j)  (0.3578952-1.0202066j)  (1.0252743-0.309326j)  (-0.9710467-0.42629433j)  (0.48471633+0.96007663j)  (-0.5203418-1.0505005j)  (0.058865573+1.9221278j)  (0.91445816+1.7299933j)  (-0.45230302-0.21601166j)  (0.19739933+0.3903673j)  (-0.677652+0.005341858j)  (-0.17815915+0.21594836j)  (0.5488442-0.3735854j)  (-0.30349413-0.038921025j)  (-0.5832744+1.5802735j)  (0.07170591+0.44599432j)  (-0.74738777+0.18610658j)  (0.423656+0.44196117j)  (-0.41067395-0.77553797j)  (0.11552005-0.95991725j)  (-0.19019538+0.5392813j)  (-0.80169195-0.09499161j)  (1.3284497-0.68558395j)  (0.7711461-0.0026989905j)  (-0.22942288+0.49093208j)  (-0.9779533-0.68770427j)  (-0.7981912-0.96306694j)  (-1.9934543-0.068354964j)  (0.737152-0.7063887j)  (-0.57978326-0.5885159j)
 (0.7560783-0.8679142j)  (-0.27513567+0.63061553j)  (-1.4835527-0.16688457j)  (0.4046319-1.0289391j)  (0.30681252-0.43950167j)  (-0.28011507+0.78061223j)  (-0.014150154+1.2663441j)  (0.43225828-0.057266314j)  (-0.11484783+0.7334677j)  (-0.13705298+0.55850434j)  (-1.0307537+0.08225994j)  (-0.08974639+0.5252084j)  (-0.10813781-0.53118074j)  (0.30406913+0.4851139j)  (-0.41440248-0.7657257j)  (0.4531729-0.4661107j)  (0.48076114+1.0521625j)  (0.42498854+0.62428087j)  (-0.07682008+1.6136152j)  (-1.0094087+0.37946177j)  (-0.08567842-0.5152467j)  (-0.46026608-0.36877355j)  (-0.095290884+0.9867636j)  (-0.7989578+0.5299303j)  (-0.6798518-0.51080257j)  (0.23981455-0.13670178j)  (-0.09230496+1.5642242j)  (-0.19189458-0.9026764j)  (-0.7291152+0.06554197j)  (0.46715373+1.2961019j)  (-0.62675333+0.37691402j)  (0.7758777+0.04352085j)  (0.7005558-0.48803478j)  (-1.6252229-0.3162716j)  (-0.025941228+1.0565919j)  (0.059514575+0.46651822j)  (0.53215545+0.5032817j)  (-0.8137255-0.57995206j)  (0.7071257-0.81614697j)  (0.005326731+0.83072126j)  (0.22531496-0.47496754j)  (-1.4254025+0.8218581j)  (1.2661096+0.22724782j)  (0.47019002-0.91153026j)  (-0.21796133-0.17377645j)  (-0.4453247-0.5847705j)  (-0.29347223-0.51682276j)  (-0.018031457+1.9458957j)  (-0.9687828+0.7556846j)  (-0.26704407+0.72056j)  (0.11718067-0.767544j)  (-0.7946425-0.6963235j)  (-0.53282094+0.6023686j)  (0.14826648+0.5795244j)  (-0.7483098-0.07848172j)  (-0.19357288-1.0523998j)  (-1.2180681+0.746057j)  (0.16663139-0.38478765j)  (-0.0037013618-0.04317776j)  (0.43625537-0.22352852j)  (-1.6247689+0.6195325j)  (-0.84009635-0.35781556j)  (-1.0158345+0.19596493j)  (0.41839623-0.02253274j)
 (0.39678335+0.33186355j)  (-0.9475071+0.32021463j)  (-0.92250025+0.7922661j)  (-1.3483087+0.024435181j)  (1.1317029-0.41826242j)  (0.8962125-0.3601645j)  (-0.10568681-0.099584974j)  (0.0932913+0.61655253j)  (0.43836156+0.9905512j)  (-0.8675841-0.3425221j)  (-0.47700268-1.3833045j)  (0.812453-1.4545066j)  (-0.38449416-0.9343936j)  (-0.8253013-0.27030542j)  (-1.5230446+0.07027529j)  (-0.44010577+0.6106609j)  (-0.87384754+0.53662056j)  (-0.49112046+0.47531015j)  (0.385944+0.6229345j)  (0.12202894+0.82879317j)  (0.08448322+0.15041421j)  (-0.9556757-0.14901134j)  (0.02332891+0.08011303j)  (1.6798358-0.5594742j)  (-0.40583107-0.6052802j)  (-0.20775414+1.4505453j)  (-0.052410692-0.7110889j)  (-0.6666349+0.051960964j)  (0.12499335-1.1453509j)  (-0.008044484-0.21111691j)  (0.89151156-0.57406986j)  (-0.868367+0.099480025j)  (-0.7139573-0.624962j)  (-0.8437908+1.1866125j)  (-1.1307006+0.39312372j)  (0.53522414+0.9015099j)  (-0.40821022-0.5727204j)  (0.01959154+0.41208917j)  (0.35606167-0.18344945j)  (0.08707651-1.0099322j)  (-0.6405761+0.28169125j)  (0.71644783-0.80406094j)  (-0.16529149+0.36389223j)  (-0.57348204+0.20481527j)  (-1.3431691+1.2467625j)  (-0.7894958-0.047298472j)  (-0.67344993+0.078759775j)  (-0.30316988+1.1417614j)  (0.15888819-1.423843j)  (-0.13209358-0.67448354j)  (-0.63280034-1.0191276j)  (1.019921-0.13911636j)  (-0.0008502178-0.34499162j)  (-0.15857962+0.16583462j)  (0.48178685-0.47776517j)  (0.15880877-0.033991992j)  (1.0457913+0.116579354j)  (0.7568456-0.68680924j)  (0.853781-0.45048612j)  (1.4650515-1.0891058j)  (-0.6980925+0.40691796j)  (-0.17490461+0.25838223j)  (0.019510956+0.6585037j)  (-1.3366257+0.78924847j)
 (-0.5660315+0.17243563j)  (-0.2619611+0.41992596j)  (1.0040128-0.31276467j)  (0.7288563+0.62567616j)  (0.23100278-1.3519521j)  (-0.52267826-0.8825394j)  (0.57321304+0.38686335j)  (0.3157029+0.49039727j)  (0.13406074+1.0007411j)  (1.0403144-0.23315944j)  (0.09713836-0.6042853j)  (1.0372608+0.09301863j)  (-1.3489866+1.1310858j)  (-0.79896927+0.36713713j)  (-0.5712366+0.046551436j)  (-0.6876784+0.4102321j)  (-0.970806-0.47549683j)  (-1.243729+0.009299575j)  (0.056947935+0.18679272j)  (-0.35344955+0.6655513j)  (0.9478414+0.6583647j)  (-0.20370425+0.047348876j)  (1.883545+0.107450336j)  (0.65075547-0.40614983j)  (-0.8285395-1.6994002j)  (-0.41045758-0.5428754j)  (0.21031764+0.5836879j)  (0.8816306-0.6926204j)  (0.20570643-0.6645361j)  (-0.6230236+0.23326965j)  (-0.054400817-0.5890495j)  (1.1387298-0.639068j)  (0.17701457-0.1780182j)  (1.2038636+0.2921744j)  (-0.40790424+1.0128973j)  (0.6445611+0.28520095j)  (0.02149699-0.4415841j)  (0.31230783-0.85537595j)  (-0.13019569-0.1169694j)  (-1.1053696-1.0410442j)  (0.79202-1.0188177j)  (-1.0143316-0.7702945j)  (-0.6494279-0.58103204j)  (-1.5812337-0.44108713j)  (0.42178684-0.71337485j)  (0.19403869+0.14969435j)  (0.20930119+0.8643157j)  (-0.05044333+0.17609146j)  (-0.22850712+1.5851268j)  (1.1741672+0.13523401j)  (-0.6212702+1.0648528j)  (1.1550796+0.07144417j)  (-0.2896999+1.3269019j)  (1.5177172+0.9256301j)  (0.008309505+0.73619j)  (-1.0259701+1.0685244j)  (1.4642662+0.07080457j)  (-0.3725721+0.8142197j)  (-1.0009801-1.087718j)  (-0.43919384+1.3673518j)  (0.2556026-0.76523215j)  (-0.13526693+0.36531854j)  (0.7795148+1.1206642j)  (-0.4914328-0.8780365j)
 (-0.31694+0.65670043j)  (0.35068053-0.23094745j)  (0.86804676-0.033880062j)  (-0.64731145+0.0016050789j)  (-0.5809547+1.4440422j)  (0.77664113+0.35439104j)  (0.64539564-0.054655083j)  (-1.2551706-0.49270022j)  (0.033248883+0.36467j)  (-0.7599712-0.14250058j)  (1.363999+0.7441001j)  (-0.61839724-0.25979233j)  (-1.2104695+0.6775527j)  (-1.4935212+0.9716629j)  (-1.0289918+0.7707941j)  (0.5682172+0.69363433j)  (0.4227792+0.965347j)  (0.4494788-0.5544129j)  (-0.44911888+0.4066499j)  (0.39486757+0.8214987j)  (-0.018038737-0.37476274j)  (-0.23740356-0.06129607j)  (0.11055092-1.2977109j)  (-0.42059514+0.26882637j)  (-0.17171724+0.73490566j)  (-1.7886343-1.2817978j)  (0.091139525+0.081254676j)  (0.6409602-1.0576828j)  (0.52655447+0.018254625j)  (0.35452002-0.16071755j)  (-1.0769076-0.18070379j)  (0.95096946+0.99253297j)  (-0.8470472+0.19863683j)  (-0.011408129+1.1817756j)  (-0.036844917-0.2581142j)  (-0.14258085-0.07353692j)  (-0.30962238-0.56052923j)  (0.17283322-0.07832711j)  (-0.34333912-0.25414672j)  (-0.102913015-1.062822j)  (-0.25870594+0.24288332j)  (-0.501478+0.29407096j)  (0.4903781-0.97075504j)  (1.0130991-0.34354565j)  (-0.33911452-1.1903247j)  (-0.33513442-1.0228183j)  (-1.1064042-0.3762182j)  (-0.4476672-1.1877763j)  (-0.00036385295-0.5819116j)  (0.30514452-0.1555644j)  (-0.99929094+1.0708666j)  (1.5838448-0.021747021j)  (1.3357925+0.74967384j)  (-0.19727696-0.7521621j)  (0.1274561-0.8377668j)  (-0.47804138-0.93623406j)  (0.7397507+0.025591807j)  (-0.37011468-0.5493231j)  (0.15794267+1.1045414j)  (-0.9627157+0.4821211j)  (1.7705163-0.5497428j)  (-0.31900114-0.56771547j)  (0.7379902+0.27104843j)  (0.10296338-0.302646j)
